1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,iso3,lat,lon,name,,,,,
,,,,,50,100,,,60,50,50,35,66,494,740,843,1042,1363,1902,2168,2377,3538,4413,9279,17938,30625,37995,47381,60450,72796,551744,373532,389753,395577,395949,394117,396717,360298,340127,311062,191607,COL,4.570868,-74.297333,Colombia,,,,,
,,,,,,,,,,,,,5,4,2,2,2,5,10,13,10,33,31,28,26,43,58,50,61,72,96,378,268,368,422,454,513,581,551,576,575,COM,-11.6455,43.3333,Comoros,,,,,
,,,,6,6,6,6,6,6,6,,,,2,4,7,11,32,177,221,21147,17143,27302,27579,24237,28002,28958,28144,24438,20608,19735,19925,20544,20679,12839,12119,11753,14500,14781,13302,13225,COG,-0.228021,15.827659,Congo,,,,,
,,,,,,,,,,,,,,,1,5,5,223,211,139,90,54,76,57,86,98,92,138,178,284,361,354,344,352,331,325,463,417,379,208,190,CRI,9.748917,-83.753428,Costa Rica,,,,,
,,,,,,,,,,,1,1,1,2,13,34,41,98,201,268,360,537,562,773,858,23741,33637,23660,18338,26315,22232,22227,23153,41758,154824,100720,85652,71966,71115,46813,39939,CIV,7.539989,-5.54708,Côte d'Ivoire,,,,,
,,,,,,,,,,,,,,,,168571,151688,76256,245572,310088,349307,338089,353725,335199,290279,274818,230189,215477,119148,93767,100423,97012,76478,65861,62649,62606,49756,40122,33451,26230,24859,HRV,45.1,15.2,Croatia,,,,,
,,,3560,1693,2703,653,924,1356,1876,686,836,3874,7682,13523,17615,21273,22406,23316,24854,25462,24913,23559,23328,20084,18959,18043,16093,15675,19000,33580,7503,7938,7549,7477,7856,7731,7460,7502,6833,5948,5316,CUB,21.521757,-77.781167,Cuba,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,35,35,35,CUW,12.16957,-68.99002,Curaçao,,,,,
,700,,,,,,,,,,,11,11,11,,,,6,9,10,8,11,16,11,5,7,5,2,5,5,9,10,11,13,11,11,10,10,4,2,0,CYP,35.126413,33.429859,Cyprus,,,,,
,,,,393,389,494,421,456,981,411,385,5649,5790,6123,4491,3327,5015,4648,2039,977,698,1934,1243,810,1179,6984,6702,4528,3589,2138,1384,1358,1067,817,763,622,991,1327,1285,1271,1272,CZE,49.817492,15.472962,Czech Rep.,,,,,
,,,,,,,,,,,,,,,,,,3,7,11,1,9,13,13,19,259,304,343,288,398,605,886,881,917,1052,1132,1167,1282,1101,1422,1161,PRK,40.339852,127.510093,Dem. People's Rep. of Korea,,,,,
44070,264940,151560,70450,116750,118970,92455,101571,94512,86418,96619,69428,103537,100786,67423,65816,81269,74826,73286,89738,158794,173995,158833,255950,371713,392146,421362,453465,462191,430929,401914,370374,367995,455852,476693,491481,509290,499563,516771,541496,537473,620775,COD,-4.038333,21.758664,Dem. Rep. of the Congo,,,,,
,,,,,,,,,,,,,,,,,,11,18,34,33,28,25,25,3,8,10,10,12,12,14,11,10,9,9,9,10,12,9,2,0,DNK,56.26392,9.501785,Denmark,,,,,
,,,,,,,,,,,,,,5,10,11,38,18068,18095,18101,8142,3219,1879,1910,452,471,522,495,504,485,648,650,622,566,602,640,762,879,1069,1440,1741,DJI,11.825138,42.590275,Djibouti,,,,,
,,,,,,,,,,,,,,,,,,,,1,1,1,3,2,5,6,17,25,30,49,58,56,53,52,52,54,43,38,38,24,26,DMA,15.414999,-61.370976,Dominica,,,,,
,,50,,1,1,1,1,1,1,1,,,,,,,1,29,30,29,47,42,45,47,46,83,92,97,67,150,358,318,230,246,250,289,306,349,382,361,412,DOM,18.735693,-70.162651,Dominican Rep.,,,,,
,,,,,,,,,,,,,,3,27,40,47,174,206,221,217,512,496,671,653,822,730,727,775,887,1332,1066,1027,852,909,844,707,804,1009,1046,1236,ECU,-1.831239,-78.183406,Ecuador,,,,,
,,50,,2,4,5,6,6,7,8,8,14,13,48,97,209,258,502,872,1202,1722,2612,3491,3953,4678,6443,5735,5371,6291,7613,6799,6780,6990,6913,7936,10020,12810,15903,17926,19796,22056,EGY,26.820553,30.802498,Egypt,,,,,
,,,,91630,304810,242400,244600,243000,180604,171784,167604,166393,39582,30019,33049,30855,26124,30735,23535,19639,17126,12591,12410,7756,7150,6632,5658,4497,4281,6388,6022,5151,5051,4976,6720,8171,9635,10965,14778,19614,25861,SLV,13.794185,-88.89653,El Salvador,,,,,
90000,120000,90000,40000,38001,18001,18001,1,1,1,,,,,,60,114,214,342,343,397,473,420,429,509,529,552,591,546,477,461,407,384,344,305,258,228,200,174,154,142,122,GNQ,1.650801,10.267895,Equatorial Guinea,,,,,
,,,400,542,1542,1585,1385,1385,1385,177,167,133,43,43,500633,503200,427213,422433,286712,332225,319077,346781,347138,376851,333229,318176,124121,131123,144066,193745,208748,186398,209168,222460,251954,285371,308236,363092,407449,459430,486169,ERI,15.179384,39.782334,Eritrea,,,,,
,,,,,,,,,,,,,,,2,59,95,297,351,1310,1266,792,633,455,479,1060,1027,855,743,627,262,248,248,240,224,456,352,339,318,305,278,EST,58.595272,25.013607,Estonia,,,,,
105700,655350,887670,1623870,2567998,1293266,1264915,1281917,1476134,1749309,1534548,1487663,1513307,1474919,1345928,251241,313129,251828,226436,100987,96270,84401,70680,71055,66410,58997,61240,62677,63150,65461,74026,59858,63878,62889,68848,70610,74968,77122,86870,85839,83966,87388,ETH,9.145,40.489673,Ethiopia,,,,,
,,,,,,,,,,,,,,1,1,19,89,156,222,305,326,301,328,401,731,1072,1087,1281,1379,1686,1828,1868,1892,1851,1579,1317,1112,924,883,792,734,FJI,-17.713371,178.065032,Fiji,,,,,
,,,,,,,,,,,,,,,,,,,1,1,2,6,6,5,2,9,7,3,5,6,4,4,6,6,7,7,7,7,8,4,0,FIN,61.92411,25.748151,Finland,,,,,
,,,,,,,,,,,,,,,,,,20,15,44,61,64,63,78,44,90,110,110,286,82,101,101,87,92,99,100,98,93,94,54,49,FRA,46.227638,2.213749,France,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,PYF,-17.679742,-149.406843,French Polynesia,,,,,
,,,,,,,,,,,,,,,,17,18,22,25,24,19,28,26,26,27,37,39,53,81,95,116,129,144,165,173,183,176,172,177,171,211,GAB,-0.803689,11.609444,Gabon,,,,,
,,,,,,,,,,,,1,1,4,15,24,26,30,161,310,421,570,677,750,734,861,746,684,1683,1254,1267,1352,1973,2242,2583,3076,3397,5136,8492,11600,14539,GMB,13.443182,-15.310139,Gambia,,,,,
,,,,,,,,,,,,,,,,,6012,5117,308,48489,47164,35669,29878,21821,17498,16975,12497,6626,7301,6340,11810,12598,15020,10640,10112,9261,6778,6681,6493,6403,6485,GEO,42.315407,43.356892,Georgia,,,,,
,,,,,,,,,,,,,,,4,4,8,449,386,420,443,688,1298,1183,1033,928,725,78,78,114,129,166,170,164,174,182,175,176,161,74,66,DEU,51.165691,10.451526,Germany,,,,,
,,,,2,2,312,1958,2202,3195,2699,3916,4769,4716,4691,4701,4776,4473,14289,13592,15095,14775,13633,13293,14775,14556,15686,15879,14772,18433,9960,5063,13242,14893,20203,20361,24298,21078,22145,22978,15541,16929,GHA,7.946527,-1.023194,Ghana,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,2,2,2,1,,,,,Gibraltar,,,,,
450,410,380,360,340,320,300,280,260,,,,6,6,16,6,1,1,94,222,250,178,174,164,125,97,301,270,224,331,91,92,67,62,51,56,51,91,113,112,105,101,GRC,39.074208,21.824312,Greece,,,,,
,,,,,,,,,,,,9,5,4,4,1,,3,6,11,12,20,36,24,53,73,77,99,152,202,297,312,333,345,323,316,330,324,270,101,103,GRD,12.1165,-61.679,Grenada,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,GUM,13.444304,144.793731,Guam,,,,,
,,,,750,1910,36490,41800,47880,52890,52800,53700,53753,45413,47988,52587,53941,50267,49610,42899,40342,37508,32747,28082,20711,16867,13888,6696,4376,3379,6496,6161,5934,5768,5679,6088,6388,6615,7483,10284,12554,16274,GTM,15.783471,-90.230759,Guatemala,,,,,
500000,3000,,,,,50,,70,,50,50,50,50,,2,19,31,106,441,523,648,924,1151,1497,2019,3418,3871,4782,5820,6840,8278,9495,10920,11985,13161,14061,14561,15252,17005,17548,20313,GIN,9.945587,-9.696645,Guinea,,,,,
37000,5000,5000,5000,5002,4002,5002,5002,5012,5352,5354,5002,5001,5004,5003,5006,5008,5011,5015,830,856,868,8887,3185,886,927,986,975,1018,1050,1003,1028,1065,1109,1127,1123,1180,1223,1307,1471,1653,1855,GNB,11.803749,-15.180413,Guinea-Bissau,,,,,
,,,,,,,,,,,,2,2,2,1,2,4,71,62,55,38,41,49,36,36,49,78,194,406,537,677,708,727,749,771,801,800,700,511,272,255,GUY,4.860416,-58.93018,Guyana,,,,,
,,300,3300,3800,5000,5000,5230,5440,6100,5120,5080,4699,3344,2092,1858,2486,3866,9803,13925,15118,15481,13538,8766,7561,7248,7718,7547,9208,13542,20837,22280,23066,24116,25892,33661,38568,38659,37162,34774,29684,28414,HTI,18.971187,-72.285215,Haiti,,,,,
,,,,,,,,,,101,1,1,5,18,21,41,448,1214,1219,1259,1246,1101,1070,903,781,673,604,484,535,1035,1236,1116,1166,1302,1966,2613,3300,4159,6851,10507,14404,HND,15.199999,-86.241905,Honduras,,,,,
50,,120,,763,744,728,607,430,435,381,329,3887,4359,5767,4733,3993,5016,4471,2348,3083,2669,1242,800,518,953,3517,3395,2749,3519,3119,3386,1614,1537,1438,1238,1087,1220,1267,1443,2909,3331,HUN,47.162494,19.503304,Hungary,,,,,
,,,,,,,,,,,,,,,,,,,,4,5,5,5,5,,13,12,10,7,31,7,7,4,4,3,3,2,1,0,0,,ISL,64.963051,-19.020835,Iceland,,,,,
,,,,,,,,,,,,8,13,198,408,1019,1492,3263,5011,7550,8924,9663,9845,11399,11571,14349,13706,13344,16285,17811,20466,19569,19514,17769,16232,14258,11041,10436,9881,7291,7891,IND,20.593684,78.96288,India,,,,,
